
=== TestCase6 case6\success\basic-2 Success execution 1 ===
{traceId=bb193361f1996331, spanId=ff7defa9254ef180, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":7,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=156afb79215895c2, timestamp=1516883326245000, }
{traceId=bb193361f1996331, spanId=ff7defa9254ef180, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":7,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=156afb79215895c2, timestamp=1516883326392000, }
{traceId=bb193361f1996331, spanId=ff7defa9254ef180, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":7,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=156afb79215895c2, timestamp=1516883326820000, }
{traceId=bb193361f1996331, spanId=ff7defa9254ef180, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":7,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=156afb79215895c2, timestamp=1516883326967000, }
{traceId=bb193361f1996331, spanId=156afb79215895c2, hostName=ts-security-service, destName=ts-preserve-service, host=ts-security-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":7,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-service, event=ts-security-service.SecurityController.check, type=ss, parentId=60c496f15d315500, timestamp=1516883327018000, }
{traceId=bb193361f1996331, spanId=156afb79215895c2, hostName=ts-preserve-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":8,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cr, parentId=60c496f15d315500, timestamp=1516883327151500, }
{traceId=bb193361f1996331, spanId=d42adc72869b3e32, hostName=ts-preserve-service, destName=ts-contacts-service, host=ts-preserve-service, clock={"ts-click-twice":5,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cs, parentId=60c496f15d315500, timestamp=1516883327168500, }
{traceId=bb193361f1996331, spanId=d42adc72869b3e32, hostName=ts-contacts-service, srcName=ts-preserve-service, src=ts-preserve-service, host=ts-contacts-service, clock={"ts-click-twice":5,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=60c496f15d315500, timestamp=1516883327179500, }
{traceId=bb193361f1996331, spanId=b9b377f557db373f, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-click-twice":5,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=d42adc72869b3e32, timestamp=1516883327221500, }
{traceId=bb193361f1996331, spanId=b9b377f557db373f, hostName=ts-sso-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-sso-service, clock={"ts-click-twice":5,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":3,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=d42adc72869b3e32, timestamp=1516883327229500, }
{traceId=bb193361f1996331, spanId=b9b377f557db373f, hostName=ts-sso-service, destName=ts-contacts-service, host=ts-sso-service, clock={"ts-click-twice":5,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=d42adc72869b3e32, timestamp=1516883327247500, }
{traceId=bb193361f1996331, spanId=b9b377f557db373f, hostName=ts-contacts-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-contacts-service, clock={"ts-click-twice":5,"ts-contacts-service":3,"ts-order-service":2,"ts-sso-service":4,"ts-preserve-service":9,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cr, parentId=d42adc72869b3e32, timestamp=1516883327255500, }
